#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.15185  1.08014 -0.01346  0.91737  0.009877  0.006870  0.000000     1.438
   2.17221  1.10028 -0.01646  0.92538  0.009285  0.006669  0.000000     1.392
   2.19592  1.12374 -0.01989  0.93299  0.008757  0.006487  0.000000     1.350
   2.22353  1.15106 -0.02383  0.94018  0.008285  0.006324  0.000000     1.310
   2.25568  1.18289 -0.02838  0.94691  0.007863  0.006177  0.000000     1.273
   2.29311  1.21995 -0.03363  0.95319  0.007488  0.006045  0.000000     1.239
   2.33670  1.26312 -0.03972  0.95900  0.007155  0.005928  0.000000     1.207
   2.38746  1.31338 -0.04680  0.96435  0.006860  0.005824  0.000000     1.178
   2.44657  1.37190 -0.05507  0.96923  0.006601  0.005731  0.000000     1.152
   2.51539  1.44005 -0.06472  0.97365  0.006376  0.005650  0.000000     1.129
   2.59553  1.51939 -0.07604  0.97762  0.006182  0.005579  0.000000     1.108
   2.68885  1.61175 -0.08932  0.98115  0.006017  0.005517  0.000000     1.091
   2.79751  1.71929 -0.10493  0.98425  0.005878  0.005463  0.000000     1.076
   2.92405  1.84448 -0.12330  0.98694  0.005762  0.005418  0.000000     1.064
   3.07138  1.99022 -0.14494  0.98950  0.005662  0.005375  0.000000     1.053
