#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.04246 -0.00018  0.00992  3.34574  0.000026  0.000011  0.011360     2.435
   1.04465 -0.00054  0.00776  3.30842  0.000024  0.000010  0.012336     2.414
   1.04679 -0.00069  0.00562  3.25865  0.000022  0.000009  0.013571     2.384
   1.04891 -0.00063  0.00351  3.18938  0.000021  0.000009  0.014517     2.367
   1.05100 -0.00034  0.00143  3.09621  0.000019  0.000008  0.016930     2.285
   1.05309  0.00018 -0.00060  2.94178  0.000017  0.000008  0.017963     2.228
   1.05523  0.00096 -0.00258  2.73738  0.000017  0.000008  0.017736     2.183
   1.05744  0.00199 -0.00454  2.50124  0.000018  0.000008  0.015913     2.168
   1.05976  0.00326 -0.00648  2.26291  0.000019  0.000009  0.013851     2.156
   1.06221  0.00479 -0.00840  2.03181  0.000020  0.000009  0.011644     2.155
   1.06482  0.00656 -0.01032  1.81703  0.000021  0.000010  0.009731     2.153
   1.06757  0.00855 -0.01221  1.62086  0.000023  0.000011  0.007990     2.160
   1.07045  0.01075 -0.01407  1.44802  0.000025  0.000011  0.006563     2.173
   1.07350  0.01317 -0.01592  1.29502  0.000026  0.000012  0.005407     2.195
   1.07674  0.01585 -0.01775  1.15241  0.000027  0.000012  0.004716     2.180
   1.08022  0.01883 -0.01955  1.00879  0.000029  0.000013  0.003884     2.181
   1.08397  0.02213 -0.02132  0.87116  0.000031  0.000014  0.003175     2.172
   1.08805  0.02582 -0.02307  0.73889  0.000033  0.000015  0.002485     2.168
   1.09253  0.02994 -0.02483  0.61865  0.000037  0.000017  0.001857     2.186
   1.09747  0.03453 -0.02665  0.51073  0.000040  0.000018  0.001425     2.182
   1.10294  0.03966 -0.02854  0.41231  0.000044  0.000020  0.001018     2.219
   1.10901  0.04541 -0.03049  0.31967  0.000045  0.000021  0.000781     2.185
   1.11575  0.05185 -0.03249  0.23014  0.000051  0.000023  0.000484     2.230
   1.12324  0.05905 -0.03455  0.14832  0.000053  0.000024  0.000308     2.205
   1.13162  0.06715 -0.03668  0.06872  0.000059  0.000027  0.000124     2.230
   1.14102  0.07630 -0.03886 -0.00676  0.000059  0.000027  0.000012     2.230
   1.15156  0.08660 -0.04110 -0.07840  0.000067  0.000030  0.000123     2.236
   1.16332  0.09813 -0.04337 -0.14639  0.000070  0.000032  0.000220     2.235
   1.17625  0.11087 -0.04561 -0.21006  0.000076  0.000034  0.000286     2.257
   1.19028  0.12473 -0.04777 -0.26946  0.000081  0.000036  0.000350     2.248
   1.20527  0.13959 -0.04982 -0.32311  0.000087  0.000039  0.000380     2.270
   1.22101  0.15521 -0.05172 -0.37203  0.000092  0.000041  0.000419     2.261
   1.23726  0.17136 -0.05347 -0.41728  0.000097  0.000043  0.000443     2.268
   1.25385  0.18788 -0.05502 -0.45829  0.000102  0.000045  0.000461     2.272
   1.27066  0.20464 -0.05637 -0.49583  0.000106  0.000047  0.000477     2.274
   1.28765  0.22159 -0.05749 -0.52972  0.000111  0.000049  0.000483     2.282
   1.30481  0.23872 -0.05839 -0.56014  0.000116  0.000051  0.000486     2.289
   1.32212  0.25602 -0.05908 -0.58817  0.000121  0.000053  0.000490     2.290
   1.33954  0.27344 -0.05956 -0.61428  0.000125  0.000055  0.000494     2.291
   1.35703  0.29092 -0.05983 -0.63858  0.000129  0.000056  0.000496     2.293
   1.37450  0.30839 -0.05990 -0.66066  0.000134  0.000058  0.000492     2.300
   1.39189  0.32578 -0.05975 -0.68211  0.000137  0.000060  0.000501     2.292
   1.40918  0.34307 -0.05937 -0.70103  0.000142  0.000062  0.000490     2.306
   1.42644  0.36032 -0.05875 -0.71751  0.000148  0.000064  0.000477     2.320
   1.44380  0.37765 -0.05788 -0.73108  0.000155  0.000066  0.000453     2.343
   1.46134  0.39516 -0.05677 -0.74258  0.000162  0.000069  0.000432     2.360
   1.47906  0.41283 -0.05544 -0.75352  0.000168  0.000071  0.000424     2.361
   1.49692  0.43062 -0.05392 -0.76291  0.000174  0.000074  0.000407     2.373
   1.51487  0.44849 -0.05221 -0.77142  0.000181  0.000076  0.000395     2.380
   1.53295  0.46647 -0.05030 -0.77833  0.000189  0.000079  0.000375     2.397
   1.55119  0.48459 -0.04822 -0.78414  0.000197  0.000082  0.000357     2.412
   1.56962  0.50288 -0.04597 -0.78904  0.000205  0.000085  0.000340     2.425
   1.58821  0.52132 -0.04357 -0.79312  0.000213  0.000087  0.000324     2.439
   1.60696  0.53990 -0.04103 -0.79661  0.000222  0.000090  0.000310     2.449
   1.62585  0.55861 -0.03838 -0.79927  0.000231  0.000094  0.000294     2.465
   1.64492  0.57747 -0.03561 -0.80126  0.000240  0.000097  0.000279     2.481
   1.66415  0.59648 -0.03275 -0.80280  0.000249  0.000100  0.000265     2.494
   1.68354  0.61565 -0.02982 -0.80375  0.000259  0.000103  0.000251     2.511
